Company,Position
Fundación Espartanos,Fundador
CNRT,Tesorera
Omnitracs,Principal HRBP at Omnitracs
UADE Business School,Coordinador Maestría en Dirección de Recursos Humanos
Banco Galicia,Líder de Gobierno de Sistemas
Best Day Travel,VP Global Supply
Best Day Travel,Air Supply Manager
IQVIA,Medical Director
De Rosa Selecciones,Professional Recruiter - Selector IT
PedidosYa,Product Manager
FEED Hapiness is Homemade,Co-Founder
Travelport,AM Caribbean region 
Independiente,Senior Freelance Recruiter
HCH Computacion 11.4328.4465,Responsable Comercial 11.4328.4465
Cámara de Senadores de Catamarca,Asesor y Analista de Recursos Humanos
Travelport,Technical Optimization Consultant
Informa,"Vice President, Asset Intelligence Group"
Claro Argentina,Market & Competitive Intelligence AR - PY - UY
mibucle,Talent Acquisition Coordinator 
GetYourGuide,Associate team lead
sertravels,traslados de pasajeros
PriceTravel,Commercial Partnership Director
PedidosYa,Senior Product Manager - Wallet Tribe
Travelport,GVP and Managing Director - OTA
OMV Yemen,Team Leader Workflows & Application
Travelport,"Regional Director Consultancy & Implementation, Americas"
Despegar,Gerente de Contabilidad Regional
HSBC,Equity Research Associate
Travelport,Vice President - Technology Optimization & Travel Intelligence
Despegar.com,CCO
Rehman Group of Travels,Chairman
Devtika. We love to find the best talent_,Talent Partner
Travelport,Account Executive
Travelport,Global VP Product Management
Faena Group,Masoterapeuta de Spa
PCI Booking,"Business Strategy - Tokenization, Payment Risk Solutions"
Universidad de 'San Andrés',Master in Marketing program Professor
Despegar,Business Specialist
Travelport,Technical Product Manager
ALIANTOUR in EUROPE,Sales & Marketing Manager
Open to new opportunities,Content Development
Agile Big Picture,VP of Operations
Oliver Wyman,Principal (Associate Partner)
Despegar,Commercial Planning Manager
VeriTran,EVP Corporate Business
Despegar,Gerente de Integracion - M&A
Despegar.com,Product Owner
Fiserv,Executive Sales Specialist
iúnigo,VP Customer Experience & Ventas Telefónicas
Encore Consulting,Talent Acquisition Associate
Acciona IT,Consultoria IT N
Mudate,Associate Founder
Estudio Jurídico Pablo López Ruf y Asoc.,Paralegal - Asistente legal - Secretaria 
Auditoría General de la Nación,Encargada de Traducciones 
Thinkwise Software,Technical Consultant
T,Semi Retired
Travelport,Chief Commercial Officer
Hotelmize,Director of Business Development Iberia & Latam
Róndine Senior Selection,Senior Consultant - Executive Search Specialist
MoMo (M_Service),Human Resources Business Partner
Facultad de Tecnología Informática de la Universidad Abierta Interamericana,Profesor Titular (r) Teleprocesamiento Bancario
Alquilando.com,Representante del servicio de atención al cliente
GM2DEV,Recruiter IT
Nybble Group,Talent Manager and Business Developer 
Petreum,Recruiting Manager
SG Consulting RH,Director fundador
Almundo,CMO
TSG,Head of Global Learning and Development
Renault Argentina,Analista Sr Contabilidad & Reporting - Gerencia Adm & Data Science
GOLDEN JACK BINGO,Pago a proveedores
PriceTravel Holding,Lead Product Owner
AXA Partners,Head of Travel
OfferUp,Director Of Engineering
PriceTravel Holding,Head of Product Owner
PriceTravel Holding,Gerente de Marketing Digital y Ventas Online
PriceTravel Holding,Platform Manager
DIA Group,Gerente de Operaciones Logísticas
AirTickets Ltd ,Marketing Manager
MURAL,Talent Partner
MPA Consultora,Talent Acquisition - IT Recruiter
Accenture Argentina,Recruiter IT
Page Personnel,IT Recruitment Analyst
Consultora en RR HH Lombardo & Asoc.,Titular de la misma
Travelport,"Vice President and Managing Director, North America"
Salad Money,Product Director and Board Director
ITSM Consulting S.A,Analista de Selección y Empleos IT
www.serviciosvirtualesoctoplus.com,Co-fundador
Pilar Humano,Consultoría en Recursos humanos
